GEO_ID,NAME,STATE_NUM,Population,STUDIO,1_BED,2_BED,3_BED,4_BED
0500000US01001,Autauga County,1,55639,716,817,977,1241,1595
0500000US01003,Baldwin County,1,218289,924,928,1206,1534,1971
0500000US01005,Barbour County,1,25026,558,562,740,941,994
0500000US01007,Bibb County,1,22374,866,942,1075,1376,1494
0500000US01009,Blount County,1,57755,866,942,1075,1376,1494
0500000US01011,Bullock County,1,10173,620,631,820,999,1229
0500000US01013,Butler County,1,19726,576,664,761,926,1022
0500000US01015,Calhoun County,1,114324,605,609,802,1088,1178
0500000US01017,Chambers County,1,33427,688,692,911,1109,1224
0500000US01019,Cherokee County,1,26035,574,584,759,959,1097
0500000US01021,Chilton County,1,44147,617,634,755,1036,1040
0500000US01023,Choctaw County,1,12755,560,562,740,921,1260
0500000US01025,Clarke County,1,23866,560,573,740,1052,1260
0500000US01027,Clay County,1,13285,520,626,740,1001,1154
0500000US01029,Cleburne County,1,14952,561,594,741,966,1110
0500000US01031,Coffee County,1,52238,607,625,803,1141,1250
0500000US01033,Colbert County,1,54957,574,617,811,1000,1249
0500000US01035,Conecuh County,1,12219,560,655,740,1008,1109
0500000US01037,Coosa County,1,10696,579,589,766,932,1148
0500000US01039,Covington County,1,37096,558,562,740,986,1214
0500000US01041,Crenshaw County,1,13826,560,562,740,901,994
0500000US01043,Cullman County,1,83345,627,655,815,1097,1125
0500000US01045,Dale County,1,49293,633,636,740,1052,1260
0500000US01047,Dallas County,1,38184,597,600,790,961,1061
0500000US01049,DeKalb County,1,71430,560,579,740,1015,1153
0500000US01051,Elmore County,1,81526,716,817,977,1241,1595
0500000US01053,Escambia County,1,36775,560,606,740,946,1164
0500000US01055,Etowah County,1,102721,514,660,769,973,1033
0500000US01057,Fayette County,1,16406,560,655,740,924,1109
0500000US01059,Franklin County,1,31587,560,655,740,901,1251
0500000US01061,Geneva County,1,26383,619,622,761,1015,1156
0500000US01063,Greene County,1,8221,623,627,794,966,1067
0500000US01065,Hale County,1,14754,816,822,1018,1277,1368
0500000US01067,Henry County,1,17123,558,562,740,985,1001
0500000US01069,Houston County,1,105319,619,622,761,1015,1156
0500000US01071,Jackson County,1,51765,560,624,740,901,1247
0500000US01073,Jefferson County,1,658615,866,942,1075,1376,1494
0500000US01075,Lamar County,1,13854,560,613,740,1011,1109
0500000US01077,Lauderdale County,1,92870,574,617,811,1000,1249
0500000US01079,Lawrence County,1,32969,623,651,795,1038,1151
0500000US01081,Lee County,1,163461,722,774,992,1327,1393
0500000US01083,Limestone County,1,96921,737,872,1029,1354,1612
0500000US01085,Lowndes County,1,9936,716,817,977,1241,1595
0500000US01087,Macon County,1,18437,584,586,772,977,1315
0500000US01089,Madison County,1,367686,737,872,1029,1354,1612
0500000US01091,Marengo County,1,19138,560,655,740,929,1109
0500000US01093,Marion County,1,29818,495,562,740,960,1260
0500000US01095,Marshall County,1,96137,565,569,740,990,994
0500000US01097,Mobile County,1,413977,738,793,986,1318,1400
0500000US01099,Monroe County,1,21006,560,655,740,1046,1078
0500000US01101,Montgomery County,1,226451,716,817,977,1241,1595
0500000US01103,Morgan County,1,119352,623,651,795,1038,1151
0500000US01105,Perry County,1,9104,604,707,799,972,1197
0500000US01107,Pickens County,1,20049,558,562,740,979,994
0500000US01109,Pike County,1,33274,673,676,890,1083,1196
0500000US01111,Randolph County,1,22732,560,655,740,1052,1109
0500000US01113,Russell County,1,57938,759,819,945,1276,1610
0500000US01115,St Clair County,1,88929,866,942,1075,1376,1494
0500000US01117,Shelby County,1,216350,866,942,1075,1376,1494
0500000US01119,Sumter County,1,12595,679,690,897,1092,1211
0500000US01121,Talladega County,1,80244,504,573,754,1033,1102
0500000US01123,Tallapoosa County,1,40450,598,600,790,1049,1076
0500000US01125,Tuscaloosa County,1,208854,816,822,1018,1277,1368
0500000US01127,Walker County,1,63802,560,562,740,1004,1042
0500000US01129,Washington County,1,16336,661,712,883,1075,1252
0500000US01131,Wilcox County,1,10552,675,686,892,1086,1198
0500000US01133,Winston County,1,23712,560,562,740,1014,1018
0500000US02013,Aleutians East County,2,3389,865,937,1234,1502,1873
0500000US02016,Aleutians West County,2,5708,1202,1365,1797,2187,2414
0500000US02020,Anchorage County,2,292090,932,1027,1352,1921,2303
0500000US02050,Bethel County,2,18263,1417,1426,1819,2214,2444
0500000US02060,Bristol Bay County,2,739,769,833,1097,1559,1665
0500000US02068,Denali County,2,6495,899,974,1282,1663,1946
0500000US02070,Dillingham County,2,2894,781,889,1168,1518,1990
0500000US02090,Fairbanks North Star County,2,2502,1021,1106,1456,1772,2210
0500000US02100,Haines County,2,4934,884,958,1261,1535,1694
0500000US02105,Hoonah-Angoon County,2,98455,993,1128,1485,2110,2529
0500000US02110,Juneau County,2,2547,919,996,1311,1700,1990
0500000US02122,Kenai Peninsula County,2,2135,855,928,1219,1529,1850
0500000US02130,Ketchikan Gateway County,2,32099,1002,1176,1499,2130,2236
0500000US02150,Kodiak Island County,2,58809,901,903,1179,1676,1895
